DMG9000 - SN:23100118
Date  hh:mm:ss,DMG - VLL ph 1-AVG,DMG - VLL ph 2-AVG,DMG - VLL ph 3-AVG,BRN01 I ph 1-AVG,BRN01 I ph 2-AVG,BRN01 I ph 3-AVG,BRN01 W TOT-AVG,BRN01 kWh+ SUM TOT,BRN02 I ph 1-AVG,BRN02 I ph 2-AVG,BRN02 I ph 3-AVG,BRN02 W TOT-AVG,BRN02 kWh+ SUM TOT,BRN03 I ph 1-AVG,BRN03 I ph 2-AVG,BRN03 I ph 3-AVG,BRN03 W TOT-AVG,BRN03 kWh+ SUM TOT,DMG - PF TOT-AVG,DMG - Cos ph 1-AVG,DMG - Cos ph 2-AVG,DMG - Cos ph 3-AVG,DMG - VLN%THD ph 1-AVG,DMG - VLN%THD ph 2-AVG,DMG - VLN%THD ph 3-AVG,DMG - VLL%THD ph 1-AVG,DMG - VLL%THD ph 2-AVG,DMG - VLL%THD ph 3-AVG,DMG - A%THD ph 1-AVG,DMG - A%THD ph 2-AVG,DMG - A%THD ph 3-AVG,DMG - VA TOT-AVG,DMG - VLN TOT-MIN,DMG - VLL TOT-MIN,
 2025/06/13  15:35:28,      401.81,      400.03,      400.74,     10.7614,     10.5486,     10.9155,     2132.09,         0.8,     17.3342,     18.0858,     15.7621,    11078.26,         3.4,      0.8778,      6.4734,      0.8793,     1887.73,         2.4,      0.8532,      0.8625,      0.8594,      0.8573,       13.09,       12.13,       12.73,        6.43,        6.34,        6.44,        6.66,        6.58,        6.52,     3749.34,      232.69,      400.83,
 2025/06/13  15:39:40,      334.73,      333.90,      333.96,      0.0000,      0.0000,      0.0000,        0.00,         0.0,      0.0000,      0.0000,      0.0000,        0.00,         0.0,      0.0000,      0.0000,      0.0000,        0.00,         0.0,      0.7121,      0.6948,      0.6925,      0.6903,       11.19,       10.96,       10.86,        5.79,        5.76,        5.89,        5.94,        5.94,        5.95,     3073.50,       87.06,      149.99,
 2025/06/13  15:44:47,      401.52,      400.30,      400.60,     10.3298,     10.1502,     10.4435,     2031.68,         1.1,     16.5453,     17.3775,     15.1871,    10561.51,         5.2,      0.8664,      6.2008,      0.8348,     1812.14,         2.7,      0.8532,      0.8628,      0.8593,      0.8570,       12.39,       12.41,       12.40,        6.40,        6.36,        6.53,        6.60,        6.61,        6.60,     3747.49,      231.87,      399.39,
 2025/06/13  15:49:55,      401.53,      400.28,      400.61,     10.7881,     10.5502,     10.8684,     2126.19,         1.3,     17.2528,     18.0200,     15.7523,    11022.49,         6.1,      0.9067,      6.4721,      0.8708,     1888.09,         2.9,      0.8532,      0.8628,      0.8593,      0.8570,       12.40,       12.40,       12.42,        6.40,        6.35,        6.53,        6.60,        6.59,        6.60,     3747.49,      231.81,      399.34,
 2025/06/13  15:54:55,      401.51,      400.28,      400.61,     10.7549,     10.5648,     10.9280,     2121.36,         1.5,     17.2377,     18.0023,     15.6635,    10993.05,         7.0,      0.8911,      6.4630,      0.8678,     1881.70,         3.0,      0.8532,      0.8628,      0.8593,      0.8571,       12.40,       12.40,       12.40,        6.40,        6.35,        6.52,        6.60,        6.59,        6.60,     3747.37,      231.87,      399.38,
 2025/06/13  15:59:56,      401.50,      400.29,      400.59,     10.8046,     10.5570,     10.9437,     2117.67,         1.6,     17.1724,     17.9795,     15.6431,    10962.57,         7.9,      0.8811,      6.4527,      0.8697,     1878.79,         3.2,      0.8532,      0.8628,      0.8593,      0.8570,       12.40,       12.39,       12.40,        6.40,        6.36,        6.53,        6.60,        6.60,        6.60,     3747.22,      231.92,      399.48,
 2025/06/13  16:04:56,      401.52,      400.28,      400.59,     10.7374,     10.5814,     10.9055,     2114.53,         1.8,     17.2540,     17.9761,     15.6657,    10990.11,         8.9,      0.8841,      6.4632,      0.8717,     1883.30,         3.3,      0.8532,      0.8628,      0.8593,      0.8570,       12.40,       12.40,       12.40,        6.41,        6.36,        6.52,        6.61,        6.60,        6.60,     3747.35,      231.91,      399.45,
 2025/06/13  16:09:57,      401.52,      400.27,      400.60,     10.7621,     10.6192,     11.0018,     2108.79,         2.0,     17.2570,     18.0033,     15.6219,    10980.08,         9.8,      0.8755,      6.4392,      0.8695,     1876.20,         3.5,      0.8532,      0.8628,      0.8593,      0.8570,       12.40,       12.39,       12.42,        6.40,        6.36,        6.52,        6.59,        6.61,        6.60,     3747.26,      231.89,      399.41,
 2025/06/13  16:14:57,      401.50,      400.27,      400.61,     10.8362,     10.5763,     11.0161,     2111.17,         2.2,     17.1979,     18.0387,     15.6480,    10976.94,        10.7,      0.8692,      6.4368,      0.8691,     1872.73,         3.6,      0.8532,      0.8628,      0.8592,      0.8570,       12.40,       12.41,       12.39,        6.40,        6.35,        6.51,        6.60,        6.59,        6.59,     3747.27,      231.80,      399.24,
 2025/06/13  16:19:58,      401.51,      400.28,      400.60,     10.7432,     10.4830,     10.9379,     2118.59,         2.3,     17.2256,     18.0595,     15.6669,    11007.50,        11.6,      0.8529,      6.4716,      0.8707,     1878.97,         3.8,      0.8532,      0.8628,      0.8592,      0.8571,       12.40,       12.40,       12.40,        6.40,        6.36,        6.52,        6.60,        6.61,        6.59,     3747.35,      231.90,      399.40,
